time,RSSI,time,lat,long,GPS MSL,SVs,time,acceleration,time,pressure,Pressure MSL,Pressure AGL,time,comp. bat. voltage,time,state,A cont.,B cont.,C cont.,D cont.,A on., B on,C on,D on,time,eject. bat. voltage,time,GPS Time of Week, valid leap seconds, leap seconds,time,temperature
4.031,-87,90.7108,38.399412,-78.063555,1027.181,14,90.0611,1.00391,116.234,90226,967.803,-195.258,197.094,7.00393,195.844,Decent,0,0,0,0,1,0,0,0,193.359,0.0227295,210.906,64297400,1,18,276.219,25.71
4.171,-86,91.4828,38.399341,-78.063557,1024.87,15,90.9531,1.07422,118.209,90419,950.171,-212.89,202.078,7.00718,199.547,Decent,0,0,0,0,1,0,0,0,195.844,0.0227295,214.922,64301400,1,18,281.25,25.7
4.281,-88,92.1324,38.399292,-78.063573,1022.9061,15,91.5227,0.902344,119.864,90489,943.782,-219.279,204.547,7.01367,203.297,Decent,0,0,0,0,1,0,0,0,199.547,0.0227295,220.234,64306400,1,18,287.375,25.65
4.39,-88,93.0439,38.399231,-78.063602,1020.1851,15,92.4683,0.921875,121.682,90551,938.128,-224.933,209.578,7.00068,205.797,Decent,0,0,0,0,1,0,0,0,203.297,0.0227295,224.219,64310400,1,18,300.703,25.57
4.5,-89,93.5971,38.39919,-78.063626,1018.407,15,93.0183,0.960938,123.197,90615,932.293,-230.767,212.25,7.02017,209.578,Decent,0,0,0,0,1,0,0,0,207.063,0.0227295,228.219,64314400,1,18,,
4.625,-87,94.3297,38.399154,-78.063649,1016.84,15,94.0087,1.02734,124.669,90654,928.742,-234.319,216.172,7.00718,213.5,Decent,0,0,0,0,1,0,0,0,210.906,0.0227295,230.984,64317400,1,18,,
4.75,-87,94.9478,38.39913,-78.063671,1015.16,15,94.7549,1.07031,126.295,90735,921.365,-241.696,218.844,7.00718,217.516,Decent,0,0,0,0,1,0,0,0,214.922,0.0227295,234.953,64320800,1,18,,
4.875,-87,96.0374,38.399096,-78.063648,1006.209,15,95.4719,0.992188,127.644,90808,914.725,-248.336,222.828,7.01367,220.234,Decent,0,0,0,0,1,0,0,0,218.844,0.0227295,238.922,64324800,1,18,,
4.983,-88,96.7411,38.399081,-78.063617,1004.0891,15,96.5528,1.00781,129.049,90871,908.994,-254.067,226.813,7.00393,224.219,Decent,0,0,0,0,1,0,0,0,221.484,0.0227295,241.422,64328400,1,18,,
5.093,-86,97.6049,38.399061,-78.063583,1002.077,15,97.4574,1.08984,130.589,90941,902.631,-260.43,229.563,6.99744,226.813,Decent,0,0,0,0,1,0,0,0,225.5,0.0227295,245.25,64332200,1,18,,
5.233,-89,98.3279,38.399038,-78.063549,1000.2791,15,98.3059,1.04297,131.781,90992,897.999,-265.062,233.531,7.00393,230.984,Decent,0,0,0,0,1,0,0,0,229.563,0.0227295,250.359,64336200,1,18,,
